set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
no_option9,20,pc2_logistic,ou_seqcal,stationary,10.0,0.07746997733308798,0.014632732989150313,0.02328417886467965,0.14301746992271167,0.15161297453605033,0.016,2906
no_option9,20,pc2_logistic,ou_seqcal,stationary,20.0,0.07746997733308798,0.019145341658143303,0.026181292743791152,0.1459694445223478,0.15989085230632033,0.012,2906
no_option9,20,pc2_logistic,ou_seqcal,stationary,40.0,0.07746997733308798,0.0223800698742018,0.029246275220047194,0.14370093779444373,0.15868404405551068,0.004,2906
no_option9,20,pc2_logistic,ou_seqcal,episode_segments,,0.07746997733308798,-0.002479884961251986,0.007395088642503938,0.1691978419218225,0.18608898626172948,0.072,2906
no_option9,20,pc2_gbt,ou_seqcal,mbb,5.0,0.0571364829577724,0.0063686153902792406,0.011928617894711445,0.09590598625334458,0.10515213680212876,0.024,2906
no_option9,20,pc2_gbt,ou_seqcal,mbb,10.0,0.0571364829577724,-0.012307459503970074,-0.0028008687744380993,0.10012480685738659,0.10765173288173471,0.128,2906
no_option9,20,pc2_gbt,ou_seqcal,mbb,20.0,0.0571364829577724,-0.019782440519315714,-0.005817140135014567,0.10730630779828443,0.11683470905952759,0.128,2906
no_option9,20,pc2_gbt,ou_seqcal,mbb,40.0,0.0571364829577724,-0.0263363072681258,-0.013508567206372786,0.10934378216089014,0.11585435476574421,0.2,2906
no_option9,20,pc2_gbt,ou_seqcal,mbb,60.0,0.0571364829577724,-0.009959371661746319,-0.0002795164092625434,0.10792089481271729,0.11862872221469685,0.104,2906
no_option9,20,pc2_gbt,ou_seqcal,stationary,10.0,0.0571364829577724,-0.004764503862048833,0.00676378751167041,0.10786451197425823,0.11944974001122026,0.076,2906
no_option9,20,pc2_gbt,ou_seqcal,stationary,20.0,0.0571364829577724,-0.011749499900947221,0.000810415815678763,0.11913836761168144,0.13538064200082933,0.096,2906
no_option9,20,pc2_gbt,ou_seqcal,stationary,40.0,0.0571364829577724,-0.0016524517426805669,0.008485189773317556,0.11771307990744664,0.13071217531334098,0.06,2906
no_option9,20,pc2_gbt,ou_seqcal,episode_segments,,0.0571364829577724,-0.038801227945851405,-0.028485250439073722,0.14957636338661576,0.16481041218325296,0.32,2906
no_option9,20,raw_logistic,ou_seqcal,mbb,5.0,0.03571107613093843,-0.005481456816142517,0.0006866722984805231,0.07390758350086192,0.08169180154447805,0.092,2906
no_option9,20,raw_logistic,ou_seqcal,mbb,10.0,0.03571107613093843,-0.010952498496628887,-0.0042938626430764825,0.08113720913330986,0.09108716522899016,0.156,2906
no_option9,20,raw_logistic,ou_seqcal,mbb,20.0,0.03571107613093843,-0.0186015204500087,-0.012355791578306645,0.08278478860330814,0.09511070683606974,0.292,2906
no_option9,20,raw_logistic,ou_seqcal,mbb,40.0,0.03571107613093843,-0.020467476758913163,-0.014376327256592221,0.08943439820186726,0.10482493614674135,0.292,2906
no_option9,20,raw_logistic,ou_seqcal,mbb,60.0,0.03571107613093843,-0.039375863910753546,-0.025959903819847113,0.08754952214762056,0.09809888183050844,0.344,2906
no_option9,20,raw_logistic,ou_seqcal,stationary,10.0,0.03571107613093843,-0.015400768092356576,-0.00967457467433184,0.0837498650068471,0.09304851090423132,0.192,2906
no_option9,20,raw_logistic,ou_seqcal,stationary,20.0,0.03571107613093843,-0.0255684942891763,-0.013631311822202787,0.08591212244261612,0.09953564012007772,0.24,2906
no_option9,20,raw_logistic,ou_seqcal,stationary,40.0,0.03571107613093843,-0.03441777945168831,-0.019961724182192837,0.0871525833789851,0.09533549683847801,0.276,2906
no_option9,20,raw_logistic,ou_seqcal,episode_segments,,0.03571107613093843,-0.0394769239879069,-0.029195290987403966,0.1093482200157326,0.11675469503627903,0.356,2906
